kind	symbolId	diagnosticCode	documentUri	jsonPointer	reason	reasonSha256	category	waiverId	rationale	owner	disposition
operation	operation:PostAccountsAccountPeoplePerson	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}~1people~1{person}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/additional_tos_acceptances	Operation 'PostAccountsAccountPeoplePerson' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	68a83287ca1b57115b3354be845f3190aca93a84cb637105cbb27d69413fc0a8	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-1people-1-person-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-additional-tos-acceptances-68a83287ca1b	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccountPeoplePerson' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountsAccountPersons	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}~1persons/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/additional_tos_acceptances	Operation 'PostAccountsAccountPersons' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	e54eaefe9ac7fd2372ff130f336a9ff85e7e89aa8d561deeea35626ba7d467f9	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-1persons-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-additional-tos-acceptances-e54eaefe9ac7	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccountPersons' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAccountsAccountPersonsPerson	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1accounts~1{account}~1persons~1{person}/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/additional_tos_acceptances	Operation 'PostAccountsAccountPersonsPerson' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	b5ed89b9f5f5c1b9ce614f73074f108ff79f227c61c96d32a9c18f606fbe4e0d	dynamic-object-keys	stripe-paths-1v1-1accounts-1-account-1persons-1-person-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-additional-tos-acceptances-b5ed89b9f5f5	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAccountsAccountPersonsPerson' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAppsSecrets	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1apps~1secrets/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/scope	Operation 'PostAppsSecrets' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	69b2db2a84749a29c7bca2316a9289662609885ddfdd46c17b90dda084bbaeff	dynamic-object-keys	stripe-paths-1v1-1apps-1secrets-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-scope-69b2db2a8474	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAppsSecrets' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostAppsSecretsDelete	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1apps~1secrets~1delete/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/scope	Operation 'PostAppsSecretsDelete' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	e4df9701e8a9ba85fa03aba44b3d159b506f11a037afce880177b5f6e08fade3	dynamic-object-keys	stripe-paths-1v1-1apps-1secrets-1delete-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-scope-e4df9701e8a9	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostAppsSecretsDelete' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostBalanceSettings	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1balance_settings/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/payments	Operation 'PostBalanceSettings' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	d0f71695f9011b6f6a6423e2b2dc5091bd5da0a519fd03f42751953b9a5b2770	dynamic-object-keys	stripe-paths-1v1-1balance-settings-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-payments-d0f71695f901	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostBalanceSettings' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostBillingAlerts	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1billing~1alerts/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/usage_threshold	Operation 'PostBillingAlerts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	81606c874c03f22550b88a9b6667f641073822b752ad916428522793f06d4627	dynamic-object-keys	stripe-paths-1v1-1billing-1alerts-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-usage-threshold-81606c874c03	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostBillingAlerts' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostBillingCreditGrants	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1billing~1credit_grants/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/amount	Operation 'PostBillingCreditGrants' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	72199da5b2835e729547cf6a7e67463887248e3a9d6f7c907fed04eea0f4e260	dynamic-object-keys	stripe-paths-1v1-1billing-1credit-grants-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-amount-72199da5b283	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostBillingCreditGrants' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostBillingMeterEventAdjustments	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1billing~1meter_event_adjustments/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/cancel	Operation 'PostBillingMeterEventAdjustments' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	949d1f715f589a7c5c52b9acbee5c79bd6858af598f3745b3cba7607433caf57	dynamic-object-keys	stripe-paths-1v1-1billing-1meter-event-adjustments-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-cancel-949d1f715f58	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostBillingMeterEventAdjustments' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
operation	operation:PostBillingMeters	SDKGEN-PROJECTION-UNREPRESENTABLE-OPERATION	sdkgen://source/openapi.json	/paths/~1v1~1billing~1meters/post/requestBody/content/application~1x-www-form-urlencoded/schema/properties/customer_mapping	Operation 'PostBillingMeters' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported	ae8df03c954fd0d2327f1720d6c4f568ba86b9613dc5533fbb5a4ea69006f24c	dynamic-object-keys	stripe-paths-1v1-1billing-1meters-post-requestbody-content-application-1x-www-form-urlencoded-schema-properties-customer-mapping-ae8df03c954f	Exact Stripe T11 waiver for this dynamic object keys operation: Operation 'PostBillingMeters' cannot be represented: form object must declare additionalProperties: false; dynamic form keys are unsupported. Omit only this source-proven tuple rather than weaken the generated SDK contract.	sdkgen-maintainers	omit
