schemaId	legacyCandidate	newName	legacyLength	newLength	committedLegacyFilePresent
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCitationContentBlockLocation/properties/type	InlineComponentsSchemasAnthropicCitationContentBlockLocationPropertiesType	InlineAnthropicCitationContentBlockLocationTypeXdd14ff0c	74	56	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCitationContentBlockLocationParam/properties/type	InlineComponentsSchemasAnthropicCitationContentBlockLocationParamPropertiesType	InlineAnthropicCitationContentBlockLocationParamTypeX951a2013	79	61	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCitationPageLocation/properties/type	InlineComponentsSchemasAnthropicCitationPageLocationPropertiesType	InlineAnthropicCitationPageLocationTypeXdb1d2570	66	48	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCitationPageLocationParam/properties/type	InlineComponentsSchemasAnthropicCitationPageLocationParamPropertiesType	InlineAnthropicCitationPageLocationParamTypeX53ed0e6c	71	53	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCitationSearchResultLocation/properties/type	InlineComponentsSchemasAnthropicCitationSearchResultLocationPropertiesType	InlineAnthropicCitationSearchResultLocationTypeX2a3f09a9	74	56	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCitationSearchResultLocationParam/properties/type	InlineComponentsSchemasAnthropicCitationSearchResultLocationParamPropertiesType	InlineAnthropicCitationSearchResultLocationParamTypeXb2cddcf4	79	61	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCitationWebSearchResultLocation/properties/type	InlineComponentsSchemasAnthropicCitationWebSearchResultLocationPropertiesType	InlineAnthropicCitationWebSearchResultLocationTypeXd965afd2	77	59	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCitationWebSearchResultLocationParam/properties/type	InlineComponentsSchemasAnthropicCitationWebSearchResultLocationParamPropertiesType	InlineAnthropicCitationWebSearchResultLocationParamTypeX1643e43d	82	64	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCodeExecution20250825Caller/properties/type	InlineComponentsSchemasAnthropicCodeExecution20250825CallerPropertiesType	InlineAnthropicCodeExecution20250825CallerTypeX15c13a96	73	55	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCodeExecution20260120Caller/properties/type	InlineComponentsSchemasAnthropicCodeExecution20260120CallerPropertiesType	InlineAnthropicCodeExecution20260120CallerTypeX84bb47d9	73	55	true
sdkgen://source/openapi.yaml#/components/schemas/AnthropicCodeExecutionOutput/properties/type	InlineComponentsSchemasAnthropicCodeExecutionOutputPropertiesType	InlineAnthropicCodeExecutionOutputTypeX0c18375e	65	47	true
