symbolId	category	jsonPointer	reason
operation:GetBillingCreditBalanceSummary	parameter-deep-object-nonprimitive-property	/paths/~1v1~1billing~1credit_balance_summary/get/parameters/3/schema/properties/applicability_scope	Operation 'GetBillingCreditBalanceSummary' cannot be represented: deepObject parameter 'filter' property 'applicability_scope' requires a primitive schema
operation:GetCreditNotesPreview	parameter-deep-object-nonprimitive-array	/paths/~1v1~1credit_notes~1preview/get/parameters/6/schema	Operation 'GetCreditNotesPreview' cannot be represented: deepObject parameter 'lines' requires primitive array item schemas
operation:GetCreditNotesPreviewLines	parameter-deep-object-nonprimitive-array	/paths/~1v1~1credit_notes~1preview~1lines/get/parameters/8/schema	Operation 'GetCreditNotesPreviewLines' cannot be represented: deepObject parameter 'lines' requires primitive array item schemas
operation:GetTreasuryTransactions	parameter-deep-object-nonprimitive-property	/paths/~1v1~1treasury~1transactions/get/parameters/8/schema/properties/posted_at	Operation 'GetTreasuryTransactions' cannot be represented: deepObject parameter 'status_transitions' property 'posted_at' requires a primitive schema
